. depth . depth																						
Depth (m) EDC	Ice age (a 1950) AICC		depth m EDC	Gas age (a 1950) AICC		EDC depth[m]	EDC CH4 [ppbv]		Gas age (a 1950) AICC	depth/gas age m EDC		depth m EDC (ref)	CO2compositBereiter		Ice age (a 1950) AICC	Depth/Ice age (m) EDC		Depth(m) EDC	EDC deut cor		Depth (m) EDC (ref)	nssCA800ka
0	-55		57.75	81.12		99.34	907		81.12	57.75		29.62689873	313.66		-55	0		6.6	-390.9		50.41666668	30.461
1.65	-41.54		59.4	85.86		102.45	784		85.86	59.4		29.94018987	309.69		-41.54	1.65		7.15	-385.1		116.6	19.659
3.3	-20.47		61.05	91.38		102.58	762		91.38	61.05		30.30917722	311.57		-20.47	3.3		7.7	-377.8		173.3285714	23.73
4.95	4.3		62.7	95.77		103.34	710		95.77	62.7		30.67468354	310.36		4.3	4.95		8.25	-394.1		228.4236842	22.865
6.6	31.06		64.35	100.11		104.33	727		100.11	64.35		30.68512658	312.87		31.06	6.6		8.8	-398.7		281.93	20.595
8.25	57.05		66	105.07		104.69	696		105.07	66		31.03670886	312.56		57.05	8.25		9.35	-395.9		341.9058824	20.352
9.9	85.04		67.65	110.46		104.78	683		110.46	67.65		31.05759494	311.97		85.04	9.9		9.9	-395.9		392.0481481	41.157
11.55	114.51		69.3	113.69		106.61	679		113.69	69.3		31.11677215	311.81		114.51	11.55		10.45	-399.3		433.6933334	86.18
13.2	145		70.95	117.98		107.69	676		117.98	70.95		31.2664557	310.44		145	13.2		11	-391.4		466.5974358	310.638
14.85	176.33		72.6	121.44		108.79	651		121.44	72.6		31.33607595	311.28		176.33	14.85		11.55	-399.5		491.1385417	521.6
16.5	207.54		74.25	124.99		109.83	684		124.99	74.25		31.42310127	310.22		207.54	16.5		12.1	-402.9		514.635	545.687
18.15	239.98		75.9	128.15		110.46	681		128.15	75.9		31.75031646	312.36		239.98	18.15		12.65	-393.9		537.7361702	470.85
19.8	274.2		77.55	130.96		112.14	670		130.96	77.55		32.22373418	311.88		274.2	19.8		13.2	-398.6		560.2343137	644.656
21.45	310.09		79.2	132.92		113.03	644		132.92	79.2		32.28291139	312.84		310.09	21.45		13.75	-389.8		581.5086538	491.864
23.1	346.64		80.85	136.33		114.67	670		136.33	80.85		32.37341772	312.39		346.64	23.1		14.3	-394.5		603.8541666	385.597
24.75	384.89		82.5	138.76		114.78	668		138.76	82.5		32.70063291	311.8		384.89	24.75		14.85	-400.5		626.0908163	382.817
26.4	423.74		84.15	143.23		115.22	680		143.23	84.15		32.73196203	307.74		423.74	26.4		15.4	-403.6		647.6411765	222.023
28.05	461.7		85.8	146.47		118.48	667		146.47	85.8		33.00348101	309.8		461.7	28.05		15.95	-393.1		669.6191489	173.227
29.7	500.2		87.45	149.45		118.74	669		149.45	87.45		33.13575949	310.95		500.2	29.7		16.5	-410.9		691.8163044	108.236
31.35	539.86		89.1	150.21		120.85	680		150.21	89.1		33.26455696	311.21		539.86	31.35		17.05	-393.6		716.3808511	109.94
33	579.52		90.75	152.65		121.15	643		152.65	90.75		33.35158228	310.46		579.52	33		17.6	-391.1		737.8519607	185.882
34.65	618.15		92.4	155.41		124.34	664		155.41	92.4		33.6335443	308.48		618.15	34.65		18.15	-391.9		759.3552084	157.286
36.3	655.8		94.05	158.13		124.58	647		158.13	94.05		33.64398734	311.94		655.8	36.3		18.7	-396.3		781.044	93.188
37.95	696.74		95.7	161.01		125.29	648		161.01	95.7		33.73449367	311.52		696.74	37.95		19.25	-397		806.0555556	86.436
39.6	740.26		97.35	163.44		126.33	640		163.44	97.35		33.7693038	312.33		740.26	39.6		19.8	-404.7		828.718	186.929
41.25	784.06		99	178.57		126.75	636		178.57	99		34.08607595	307.41		784.06	41.25		20.35	-398.2		850.9302083	95.621
42.9	824.8		100.65	255.47		129.18	635		255.47	100.65		34.4306962	309.34		824.8	42.9		20.9	-395.2		874.725	61.258
44.55	863.05		102.3	348.57		130.79	633		348.57	102.3		34.48639241	307.26		863.05	44.55		21.45	-403.5		898.92	138.544
46.2	903.94		103.95	353.37		131.83	644		353.37	103.95		34.71265823	306.32		903.94	46.2		22	-398.6		921.3202127	128.512
47.85	947.77		105.6	426.35		134.25	643		426.35	105.6		35.12341772	309.63		947.77	47.85		22.55	-399.7		946.25	84.871
49.5	992.56		107.25	503.53		134.48	629		503.53	107.25		35.22436709	307.08		992.56	49.5		23.1	-396		969.7147059	199.551
51.15	1037.03		108.9	538.32		135.19	635		538.32	108.9		35.50632911	305.94		1037.03	51.15		23.65	-400.2		989.8881356	294.507
52.8	1080.33		110.55	539.94		137.75	635		539.94	110.55		35.58987342	308.28		1080.33	52.8		24.2	-401.6		1008.719643	363.925
54.45	1124.67		112.2	597.52		137.98	650		597.52	112.2		35.67689873	308.26		1124.67	54.45		24.75	-405.4		1026.503077	396.769
56.1	1169.43		113.85	690.31		140.73	631		690.31	113.85		36.18512658	305.74		1169.43	56.1		25.3	-399		1044.375	223.373
57.75	1212.13		115.5	763.05		141.07	638		763.05	115.5		36.68639241	305.38		1212.13	57.75		25.85	-396.9		1064.494444	52.857
59.4	1255.11		117.15	840.7		143.38	632		840.7	117.15		36.91265823	305.78		1255.11	59.4		26.4	-394.9		1084.482143	85.731
61.05	1300.31		118.8	870.91		144.04	630		870.91	118.8		36.98227848	305.71		1300.31	61.05		26.95	-406.6		1107.026531	63.622
62.7	1345.56		120.45	891.05		145.8	610		891.05	120.45		37.11455696	305.67		1345.56	62.7		27.5	-395.2		1127.277885	128.699
64.35	1390.3		122.1	1001.09		146.03	623		1001.09	122.1		37.23987342	308.02		1390.3	64.35		28.05	-395.3		1148.171698	95.171
66	1433.9		123.75	1066.1		147.29	623		1066.1	123.75		38.10664557	304.97		1433.9	66		28.6	-399.5		1170.774	61.572
67.65	1482.74		125.4	1133.02		148.33	615		1133.02	125.4		38.30158228	304.72		1482.74	67.65		29.15	-401		1195.490476	39.007
69.3	1530.9		127.05	1168.94		148.75	623		1168.94	127.05		38.9664557	306.2		1530.9	69.3		29.7	-393.6		1221.011702	45.144
70.95	1578.87		128.7	1236.33		150.09	618		1236.33	128.7		39.08132911	303.18		1578.87	70.95		30.25	-410.4		1242.921429	123.802
72.6	1627.5		130.35	1268.58		150.63	613		1268.58	130.35		40.05601266	301.88		1627.5	72.6		30.8	-401.3		1262.198113	134.61
74.25	1677.8		132	1293.39		153.83	613		1293.39	132		40.41803797	304.61		1677.8	74.25		31.35	-398.3		1282.69	65.961
75.9	1727.92		133.65	1365.6		155.04	605		1365.6	133.65		40.69651899	303.85		1727.92	75.9		31.9	-388.5		1302.999107	93.168
77.55	1778.58		135.3	1399.01		156.15	599		1399.01	135.3		41.42056962	301.92		1778.58	77.55		32.45	-391.9		1324.552128	20.027
79.2	1829.26		136.95	1435.78		157.58	604		1435.78	136.95		41.90791139	300.7		1829.26	79.2		33	-400.8		1345.735849	37.307
80.85	1881.37		138.6	1499.6		159.33	591		1499.6	138.6		42.55886076	301.3		1881.37	80.85		33.55	-387.7		1366.857843	92.599
82.5	1930.73		140.25	1602.09		159.67	594		1602.09	140.25		42.98702532	299.26		1930.73	82.5		34.1	-401.4		1387.62	65.94
84.15	1980.74		141.9	1682.3		159.78	609		1682.3	141.9		43.05316456	297.73		1980.74	84.15		34.65	-401		1408.081148	103.854
85.8	2031.85		143.55	1708.86		162.05	602		1708.86	143.55		43.18544304	298.11		2031.85	85.8		35.2	-387.3		1425.837069	55.154
87.45	2084.97		145.2	1775.41		163.82	597		1775.41	145.2		43.51962025	297.87		2084.97	87.45		35.75	-390.2		1445.513793	30.102
89.1	2136.64		146.85	1838.93		164.83	595		1838.93	146.85		43.95126582	301.5		2136.64	89.1		36.3	-394.5		1461.942308	57.375
90.75	2188.7		148.5	1878.43		165.18	594		1878.43	148.5		44.9085443	299.63		2188.7	90.75		36.85	-401.9		1478.357692	29.625
92.4	2243.55		150.15	1953.14		165.28	597		1953.14	150.15		44.98860759	297.33		2243.55	92.4		37.4	-399.8		1495.153174	20.894
94.05	2294.52		151.8	2029.43		167.09	593		2026.32	153.45		45.05474684	299.02		2294.52	94.05		37.95	-399.9		1514.048148	16.47
95.7	2346.95		153.45	2026.32		167.8	604		2029.43	151.8		45.55601266	295.99		2346.95	95.7		38.5	-399.1		1535.038541	56.864
