depth ODP849	d18Oforams-b	d13Cforams-b	depth ODP846	d18Oforams-b	d13Cforams-b	Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
7	3.66	0.21	12	3.38	0.14	0	2.588	0.031
17	3.49	0.08	23	3.46	0.01	1	2.588	0.037
28	3.31	0.19	33	3.765	-0.08	2	2.539	0.031
45	4.17	-0.15	43	4.14	-0.17	3	2.646	0.027
55	4.69	-0.27	53	4.47	-0.21	4	2.655	0.033
69	4.92	-0.26	63	4.99	-0.41	5	2.624	0.032
89	4.55	-0.08	73	4.99	-0.43	6	2.693	0.039
89	4.8	-0.16	87	4.9	-0.41	7	2.727	0.04
109	4.59	0.02	100	4.56	-0.29	8	2.78	0.033
118	4.55	0.05	113	4.76	-0.32	9	2.745	0.035
128	4.72	0.02	123	4.74	-0.44	10	2.883	0.037
139	4.36	0.1	133	4.64	-0.38	11	2.963	0.04
150	4.46	0.05	145	4.49	-0.33	12	3.284	0.046
161	4.63	-0.02	159	4.56	-0.2	13	3.415	0.038
185	4.47	0.07	169	4.48	-0.16	14	3.641	0.032
194	4.45	-0.04	179	4.44	-0.2	15	3.855	0.04
217	4.54	-0.21	187	4.51	-0.18	16	4.111	0.033
231	4.57	-0.11	198	4.35	-0.19	17	4.241	0.039
243	4.27	0.3	207	4.37	-0.24	18	4.384	0.027
249	4.14	0.13	218	4.43	-0.23	19	4.316	0.03
256	4.1	0.25	228	4.33	-0.26	20	4.352	0.037
271	4.32	-0.03	238	4.35	-0.21	21	4.275	0.03
275	3.95	0.12	247	4.34	-0.3	22	4.243	0.027
280	3.83	0.22	259	4.46	-0.25	23	4.219	0.03
289	4	0.21	267	4.35	-0.38	24	4.171	0.038
292	3.9	0.21	278	4.5	-0.4	25	4.179	0.023
292	3.96	0.21	287	4.33	-0.41	26	4.033	0.038
296	3.71	0.2	296	4.36	-0.53	27	4.109	0.035
306	3.85	0.1	309	4.35	-0.43	28	4.113	0.031
306	3.84	-0.01	318	4.47	-0.47	29	4.091	0.033
315	4	0.17	328	4.42	-0.53	30	3.977	0.036
324	3.95	0.09	339	4.5	-0.47	31	3.984	0.033
333	3.91	-0.06	348	4.48	-0.3	32	3.959	0.026
333	3.73	-0.11	357	4.11	-0.12	33	3.939	0.025
344	3.7	0.06	367	4.33	-0.21	34	3.946	0.027
344	3.79	0.1	378	3.98	0.01	35	3.899	0.024
355	3.78	0.05	388	4.04	-0.08	36	3.814	0.028
366	3.3	0.23	399	3.9	-0.12	37	3.816	0.027
377	3.23	0.12	410	4.06	-0.09	38	3.774	0.027
388	3.15	-0.02	420	4.09	-0.13	39	3.915	0.029
398	3.27	-0.02	428	4.08	-0.18	40	3.908	0.031
408	4.13	-0.23	437	4.01	-0.01	41	3.874	0.046
418	4.42	-0.3	443	3.91	-0.385	42	3.864	0.034
428	4.85	-0.3	446	3.93	-0.21	43	3.823	0.043
437	4.75	-0.39	455	3.76	-0.23	44	3.838	0.032
437	4.84	-0.25	467	4.03	-0.29	45	3.689	0.037
447	4.98	-0.38	479	3.82	-0.08	46	3.723	0.045
456	4.7	-0.45	490	3.4	0	47	3.741	0.037
467	4.74	-0.33	502	3.515	-0.075	48	3.805	0.036
477	4.76	-0.25	512	3.13	0.22	49	3.822	0.029
488	4.67	-0.19	522	2.98	0.12	50	3.703	0.035
498	4.38	-0.46	532	3.25	-0.02	51	3.694	0.045
508	4.72	-0.39	542	4.05	-0.205	52	3.669	0.037
518	4.57	-0.21	552	4.185	-0.27	53	3.796	0.029
528	4.81	-0.45	562	4.71	-0.33	54	3.736	0.043
538	4.52	-0.49	572	4.88	-0.4	55	3.667	0.031
538	4.46	-0.3	582	4.37	-0.25	56	3.714	0.039
548	4.21	-0.13	592	4.7	-0.33	57	3.787	0.039
558	4.26	-0.37	602	4.76	-0.43	58	3.849	0.056
558	4.54	-0.24	613	4.69	-0.45	59	3.787	0.043
568	3.98	-0.22	623	4.61	-0.58	60	3.959	0.044
578	4.38	-0.35	633	4.47	-0.445	61	3.873	0.045
589	4.39	-0.34	643	4.595	-0.425	62	3.964	0.042
589	4.21	-0.31	653	4.53	-0.565	63	3.891	0.04
599	4.16	-0.41	663	4.665	-0.5	64	3.717	0.057
608	4.46	-0.42	672	4.675	-0.595	65	3.841	0.047
618	4.35	-0.34	682	4.66	-0.505	66	3.927	0.041
628	4.49	-0.45	691	4.57	-0.33	67	3.799	0.052
628	4.41	-0.23	700	4.47	-0.475	68	3.779	0.057
638	4.1	-0.16	709	4.435	-0.395	69	3.828	0.046
638	4.24	-0.11	718	4.39	-0.47	70	3.679	0.036
647	3.97	0.05	727	4.305	-0.455	71	3.585	0.053
647	3.8	-0.06	736	4.26	-0.545	72	3.575	0.035
657	3.91	-0.01	745	4.24	-0.515	73	3.589	0.035
667	3.66	-0.16	753	4.325	-0.505	74	3.388	0.044
667	3.75	0.1	762	4.3	-0.565	75	3.313	0.042
677	3.61	-0.02	771	4.3	-0.43	76	3.424	0.041
677	3.66	-0.15	779	4.46	-0.39	77	3.437	0.047
688	3.76	-0.13	788	4.065	-0.33	78	3.415	0.028
688	3.56	0.15	795	3.955	-0.27	79	3.411	0.045
688	3.84	-0.15	803	4.03	-0.32	80	3.261	0.039
698	3.89	0.11	810	4	-0.51	81	3.184	0.043
708	3.61	-0.04	818	3.625	-0.1	82	3.162	0.041
718	3.64	-0.03	826	3.815	-0.175	83	3.188	0.042
728	3.97	-0.23	834	3.71	-0.045	84	3.183	0.038
737	4.05	-0.22	842	3.6	-0.02	85	3.313	0.056
747	4.25	-0.38	850	3.53	-0.265	86	3.419	0.052
747	3.89	-0.43	859	3.455	-0.26	87	3.54	0.047
756	4.31	-0.44	868	3.795	-0.48	88	3.467	0.05
756	4.22	-0.57	877	4.325	-0.455	89	3.437	0.038
757	4.39	-0.36	887	4.41	-0.49	90	3.421	0.048
